Sentences,Label_Task,Estimated_hours
Melakukan GA untuk menilai kebutuhan,Analisis Kebutuhan,20
Mengidentifikasi IR dengan sistem lain,Analisis Kebutuhan,20
Melakukan RA untuk kebutuhan,Analisis Kebutuhan,20
Mengelola komunikasi dengan SH tentang kebutuhan,Analisis Kebutuhan,20
Membuat US untuk kebutuhan sistem,Analisis Kebutuhan,20
Menggunakan FC untuk visualisasi kebutuhan,Analisis Kebutuhan,20
Mengadakan QA untuk klarifikasi kebutuhan,Analisis Kebutuhan,20
Menggunakan CD untuk memahami kebutuhan,Analisis Kebutuhan,20
Menulis RTM untuk melacak kebutuhan,Analisis Kebutuhan,20
Mengidentifikasi AR untuk pengguna,Analisis Kebutuhan,20
Melakukan analisis PR & SR,Analisis Kebutuhan,20
Mereview LR untuk memahami kebutuhan,Analisis Kebutuhan,20
Menggunakan PM untuk kebutuhan operasional,Analisis Kebutuhan,20
Melakukan CA untuk memahami kebutuhan,Analisis Kebutuhan,20
Menyusun RP untuk persetujuan kebutuhan,Analisis Kebutuhan,20
Mengadakan RNE secara berkala,Analisis Kebutuhan,20
Menggunakan DT untuk mengumpulkan pendapat ahli,Analisis Kebutuhan,20
Mengidentifikasi RR & CR,Analisis Kebutuhan,20
Mengelola RD secara sistematis,Analisis Kebutuhan,20
Identifikasi User Req untuk sistem baru,Analisis Kebutuhan,20
Analisis Business Process (BP) untuk kebutuhan,Analisis Kebutuhan,20
Wawancara (Interview) dengan stakeholder untuk kebutuhan,Analisis Kebutuhan,20
Buat dokumen Req Spec,Analisis Kebutuhan,20
Review kebutuhan dengan Dev Team,Analisis Kebutuhan,20
Analisis SWOT untuk kebutuhan bisnis,Analisis Kebutuhan,20
Kumpulkan data via survey,Analisis Kebutuhan,20
Analisis Func & Non-Func Req,Analisis Kebutuhan,20
Identifikasi Security & Privacy Req,Analisis Kebutuhan,20
Buat Business Model (BM) untuk analisis,Analisis Kebutuhan,20
Lakukan Gap Analysis (GA) untuk kebutuhan,Analisis Kebutuhan,20
Rencana Change Management (CM) untuk kebutuhan,Analisis Kebutuhan,20
Kolaborasi dengan tim UX untuk kebutuhan,Analisis Kebutuhan,20
Sesi brainstorming (BS) untuk kebutuhan,Analisis Kebutuhan,20
Gunakan Prototyping (PT) untuk kebutuhan,Analisis Kebutuhan,20
Studi Feasibility (FS) untuk kebutuhan bisnis,Analisis Kebutuhan,20
Buat Product Roadmap (PR) dari kebutuhan,Analisis Kebutuhan,20
Tetapkan prioritas kebutuhan,Analisis Kebutuhan,20
Analisis data (DA) untuk pola kebutuhan,Analisis Kebutuhan,20
Kembangkan Use Cases & User Stories (UC/US),Analisis Kebutuhan,20
Validasi kebutuhan dengan stakeholder,Analisis Kebutuhan,20
Susun Req Analysis Report (RAR),Analisis Kebutuhan,20
Adakan workshop (WS) untuk kebutuhan,Analisis Kebutuhan,20
Gunakan Root Cause Analysis (RCA),Analisis Kebutuhan,20
Identifikasi Training Needs (TN),Analisis Kebutuhan,20
Kelola Change Tracking (CT) untuk kebutuhan,Analisis Kebutuhan,20
Gunakan Empathy Map (EM) untuk kebutuhan,Analisis Kebutuhan,20
Benchmark (BM) dengan sistem lain,Analisis Kebutuhan,20
Buat Wireframe & Mockup (WF/MU),Analisis Kebutuhan,20
Analisis Cost-Benefit (CBA) untuk kebutuhan,Analisis Kebutuhan,20
Adakan Focus Groups (FG) untuk masukan,Analisis Kebutuhan,20
Gunakan GAP Analysis (GA),Analisis Kebutuhan,20
Identifikasi Integration Req (IR),Analisis Kebutuhan,20
Analisis risiko (RA) untuk kebutuhan,Analisis Kebutuhan,20
Kelola komunikasi dengan stakeholder (SH),Analisis Kebutuhan,20
Kembangkan Usage Scenarios (US),Analisis Kebutuhan,20
Gunakan Flowchart (FC) untuk kebutuhan,Analisis Kebutuhan,20
Adakan Q&A Sessions (QA) untuk klarifikasi,Analisis Kebutuhan,20
Gunakan Context Diagram (CD),Analisis Kebutuhan,20
Susun Req Traceability Matrix (RTM),Analisis Kebutuhan,20
Identifikasi Accessibility Req (AR),Analisis Kebutuhan,20
Analisis Performance & Scalability Req (PR/SR),Analisis Kebutuhan,20
Review literatur (LR) untuk kebutuhan,Analisis Kebutuhan,20
Gunakan Process Map (PM) untuk kebutuhan,Analisis Kebutuhan,20
Analisis kompetitif (CA) untuk kebutuhan,Analisis Kebutuhan,20
Susun Req Proposal (RP),Analisis Kebutuhan,20
Adakan Regular Needs Evaluation (RNE),Analisis Kebutuhan,20
Gunakan Delphi Technique (DT),Analisis Kebutuhan,20
Identifikasi Regulatory & Compliance Req (RR/CR),Analisis Kebutuhan,20
Kelola Req Documentation (RD),Analisis Kebutuhan,20
Berkoordinasi dengan Dinas Perhubungan setempat untuk memahami masalah lalu lintas yang paling mendesak di kota tersebut,Analisis Kebutuhan,20
"Melakukan analisis pasar untuk mengidentifikasi jenis kursus online yang paling diminati, serta fitur-fitur platform yang dianggap penting oleh pengguna",Analisis Kebutuhan,20
"Melakukan analisis pasar untuk mengidentifikasi target pelanggan potensial website ""TokoKita"", serta preferensi mereka dalam berbelanja online",Analisis Kebutuhan,20
Melakukan kunjungan lapangan ke beberapa petani untuk memahami tantangan yang mereka hadapi dalam kegiatan pertanian sehari-hari,Analisis Kebutuhan,20
Melakukan observasi langsung di rumah sakit untuk memahami alur pendaftaran dan antrian pasien saat ini,Analisis Kebutuhan,20
"Melakukan observasi langsung terhadap perilaku pengguna di perpustakaan tradisional untuk memahami bagaimana mereka mencari, meminjam, dan mengembalikan buku",Analisis Kebutuhan,20
Melakukan studi banding dengan kota-kota lain yang telah menerapkan konsep smart city untuk mendapatkan inspirasi dan pelajaran berharga,Analisis Kebutuhan,20
"Melakukan survei dan wawancara mendalam untuk memahami motivasi, preferensi olahraga, dan tingkat keahlian pengguna",Analisis Kebutuhan,20
"Melakukan survei online dan wawancara langsung dengan berbagai kalangan pengguna (pelajar, pekerja, keluarga) untuk memahami preferensi mereka dalam memilih restoran (jenis makanan, harga, lokasi, suasana, dll)",Analisis Kebutuhan,20
"Melakukan survei online dan wawancara langsung dengan mahasiswa dan pekerja muda untuk memahami kriteria utama mereka dalam mencari kos atau kontrakan (harga, fasilitas, lokasi, keamanan, dll)",Analisis Kebutuhan,20
"Melakukan survei online untuk mendapatkan data kuantitatif tentang tingkat kepuasan pengguna terhadap sistem yang ada, serta preferensi mereka terhadap fitur-fitur baru yang mungkin ditambahkan",Analisis Kebutuhan,20
Melakukan wawancara dan survei online kepada individu dari berbagai kelompok usia dan latar belakang kesehatan untuk memahami kebutuhan dan preferensi mereka dalam memantau kesehatan pribadi,Analisis Kebutuhan,20
"Melakukan wawancara mendalam dengan staf rumah sakit (dokter, perawat, petugas administrasi) untuk memahami alur kerja mereka dan kebutuhan terkait sistem informasi",Analisis Kebutuhan,20
"Membandingkan fitur dan fungsionalitas platform event yang sudah ada (Eventbrite, Loket, dll) untuk mengidentifikasi peluang perbaikan dan inovasi",Analisis Kebutuhan,20
Membuat laporan analisis kebutuhan pengguna yang lengkap dan terstruktur,Analisis Kebutuhan,20
"Mempelajari perilaku pengguna pada website e-commerce yang sudah ada, seperti Tokopedia dan Shopee, untuk mendapatkan insight tentang fitur-fitur yang diminati dan proses belanja yang efektif",Analisis Kebutuhan,20
"Mempelajari platform e-learning yang sudah ada, seperti Coursera, Udemy, atau edX, untuk mengetahui kelebihan dan kekurangan mereka dari perspektif pengguna",Analisis Kebutuhan,20
Meneliti solusi antrian digital yang sudah diterapkan di rumah sakit lain untuk mengidentifikasi fitur-fitur yang efektif dan dapat diadaptasi,Analisis Kebutuhan,20
Mengadakan diskusi dengan perwakilan pemerintah kota untuk memahami visi dan tujuan dari inisiatif smart city,Analisis Kebutuhan,20
"Mengadakan diskusi kelompok terarah (focus group discussion) dengan mahasiswa, dosen, dan staf administrasi untuk mengumpulkan masukan tentang kebutuhan dan harapan mereka terhadap sistem informasi akademik yang baru",Analisis Kebutuhan,20
"Mengadakan diskusi kelompok terarah dengan calon peserta kursus online untuk memahami motivasi, tujuan belajar, dan preferensi mereka dalam format pembelajaran",Analisis Kebutuhan,20
Mengadakan focus group discussion dengan pelaku UMKM lokal untuk memahami kebutuhan mereka dalam menjual produk secara online,Analisis Kebutuhan,20
Mengadakan observasi langsung terhadap proses pelayanan pasien di rumah sakit untuk memahami pain points dan kendala yang ada,Analisis Kebutuhan,20
"Menganalisis aplikasi kesehatan populer seperti MyFitnessPal, Samsung Health, atau Google Fit untuk mengidentifikasi fitur-fitur yang diminati dan area yang dapat ditingkatkan",Analisis Kebutuhan,20
"Menganalisis aplikasi kompetitor serupa, seperti Mamikos, Rukita, atau Infokost, untuk mengidentifikasi fitur-fitur unggulan dan kelemahan mereka",Analisis Kebutuhan,20
"Menganalisis aplikasi kompetitor serupa, seperti Mamikos, Rukita, atau Infokost, untuk mengidentifikasi fitur-fitur unggulan dan kelemahan mereka",Analisis Kebutuhan,20
"Menganalisis aplikasi kompetitor serupa, seperti Zomato, PergiKuliner, atau Yelp, untuk mengidentifikasi fitur-fitur unggulan dan kelemahan mereka, serta tren terbaru dalam industri aplikasi pencarian restoran",Analisis Kebutuhan,20
"Menganalisis aplikasi perpustakaan digital yang sudah ada, seperti Libby atau OverDrive, untuk mengetahui fitur-fitur yang diminati dan tantangan yang dihadapi pengguna dalam mengakses konten digital",Analisis Kebutuhan,20
"Menganalisis platform berbagi materi yang sudah ada (Slideshare, Scribd, dll) untuk memahami kelebihan dan kekurangannya",Analisis Kebutuhan,20
"Menganalisis sistem informasi akademik yang sudah ada (jika ada) untuk mengidentifikasi masalah, kendala, dan fitur-fitur yang kurang optimal",Analisis Kebutuhan,20
Menganalisis tingkat kepercayaan pengguna terhadap sistem peringatan dini yang sudah ada,Analisis Kebutuhan,20
"Mengeksplorasi potensi fitur-fitur aplikasi, seperti pemantauan cuaca, rekomendasi pupuk, atau forum diskusi petani, untuk meningkatkan nilai tambah aplikasi",Analisis Kebutuhan,20
"Menggali preferensi pengguna dalam mencari acara (kategori, lokasi, tanggal, harga) melalui wawancara dan survei online",Analisis Kebutuhan,20
"Mengidentifikasi fitur-fitur tambahan yang dapat meningkatkan pengalaman belajar, seperti forum diskusi, kuis interaktif, atau sistem penilaian",Analisis Kebutuhan,20
Mengidentifikasi kebutuhan petani akan informasi dan teknologi yang dapat membantu meningkatkan produktivitas dan efisiensi pertanian,Analisis Kebutuhan,20
"Mengidentifikasi kelompok pengguna potensial (penggemar olahraga, orang yang ingin memulai gaya hidup sehat, dll)",Analisis Kebutuhan,20
"Mengidentifikasi masalah kesehatan yang paling sering menjadi perhatian pengguna, seperti tekanan darah tinggi, diabetes, atau obesitas",Analisis Kebutuhan,20
"Mengidentifikasi masalah perkotaan yang paling mendesak, seperti kemacetan lalu lintas, pengelolaan sampah, atau keamanan publik",Analisis Kebutuhan,20
"Mengidentifikasi masalah yang sering dihadapi pengguna saat mencari restoran, seperti kesulitan menemukan restoran dengan menu atau suasana tertentu, kurangnya informasi terpercaya tentang kualitas makanan, atau antrian panjang",Analisis Kebutuhan,20
Mengidentifikasi pain points atau masalah yang sering dihadapi pengguna dalam proses mencari dan membandingkan kos atau kontrakan secara manual,Analisis Kebutuhan,20
"Mengidentifikasi pengguna potensial aplikasi ""CampusGuide"" (mahasiswa baru, mahasiswa lama, dosen, staf, pengunjung, dll) dengan melakukan wawancara langsung dan survei online",Analisis Kebutuhan,20
Mengumpulkan data dari siswa dan guru mengenai jenis materi pembelajaran yang paling dibutuhkan dan format yang disukai,Analisis Kebutuhan,20
"Mengumpulkan data lalu lintas real-time dari berbagai sumber (CCTV, sensor, GPS) untuk menganalisis pola kemacetan dan mengidentifikasi area yang membutuhkan perhatian khusus",Analisis Kebutuhan,20
Mengumpulkan data tentang koleksi buku dan jenis layanan yang ditawarkan oleh perpustakaan untuk mengidentifikasi area yang dapat diotomatisasi atau ditingkatkan dengan teknologi,Analisis Kebutuhan,20
Mengumpulkan data tentang sistem yang sudah digunakan di rumah sakit (jika ada) dan mengidentifikasi kekurangan serta area yang perlu diperbaiki,Analisis Kebutuhan,20
Mengumpulkan data tentang tingkat risiko banjir di daerah target,Analisis Kebutuhan,20
"Menyelidiki hambatan yang dihadapi pengguna dalam menemukan partner olahraga yang cocok (waktu, lokasi, minat)",Analisis Kebutuhan,20
"Menyelidiki hambatan yang dihadapi pengguna dalam menemukan partner olahraga yang cocok (waktu, lokasi, minat)",Analisis Kebutuhan,20
Menyelidiki kesulitan yang dihadapi pengguna dalam menemukan acara yang relevan dan sesuai minat mereka,Analisis Kebutuhan,20
Mewawancarai pasien dan staf rumah sakit untuk mendapatkan masukan tentang masalah yang dihadapi dan harapan mereka terhadap sistem antrian yang lebih baik,Analisis Kebutuhan,20
"Melakukan observasi dan wawancara dengan staf gudang untuk memahami alur kerja pengelolaan inventaris, kebutuhan pelaporan, dan fitur-fitur yang dapat meningkatkan efisiensi",Analisis Kebutuhan,20
Melakukan observasi dan wawancara dengan staf medis dan non-medis untuk memahami alur kerja di rumah sakit dan mengidentifikasi kebutuhan sistem informasi yang mendukung operasional,Analisis Kebutuhan,20
"Melakukan riset pasar dan wawancara dengan wisatawan untuk memahami preferensi mereka dalam merencanakan perjalanan, termasuk tujuan, anggaran, dan aktivitas yang diinginkan",Analisis Kebutuhan,20
"Melakukan studi literatur dan survei untuk mengidentifikasi kebutuhan pengguna terkait akses buku digital, fitur-fitur perpustakaan online, dan kemudahan penggunaan",Analisis Kebutuhan,20
"Melakukan survei untuk memahami kebutuhan pemilik rumah terkait keamanan, seperti jenis sensor yang diinginkan (pintu, jendela, gerakan), notifikasi yang dibutuhkan, dan integrasi dengan sistem keamanan lainnya",Analisis Kebutuhan,20
"Melakukan wawancara dengan apoteker dan staf apotek untuk memahami alur kerja pengelolaan stok obat, proses penjualan, dan kebutuhan pelaporan",Analisis Kebutuhan,20
Melakukan wawancara dengan komunitas tunarungu untuk memahami kebutuhan mereka dalam berkomunikasi dengan orang yang tidak mengerti bahasa isyarat,Analisis Kebutuhan,20
"Melakukan wawancara dengan pemilik UMKM untuk memahami alur keuangan mereka, kebutuhan pencatatan transaksi, pembuatan laporan keuangan, dan fitur-fitur lain yang dibutuhkan",Analisis Kebutuhan,20
"Memahami kebutuhan pengguna dalam mencari informasi dan navigasi di kampus, seperti informasi tentang gedung, fasilitas, rute, dan jadwal kuliah",Analisis Kebutuhan,20
"Memahami preferensi pencari kerja dalam mencari lowongan (kriteria pencarian, filter, informasi perusahaan), serta kebutuhan perusahaan dalam memposting lowongan dan mengelola pelamar",Analisis Kebutuhan,20
"Menentukan jenis aset yang akan dikelola (peralatan, perlengkapan, inventaris), informasi yang perlu dicatat (kondisi, lokasi, riwayat pemeliharaan), dan kebutuhan pelaporan",Analisis Kebutuhan,20
"Menentukan jenis data cuaca yang akan digunakan (suhu, kelembaban, curah hujan, kecepatan angin, dll), sumber data (API cuaca, stasiun cuaca), dan tingkat akurasi prediksi yang diharapkan",Analisis Kebutuhan,20
"Menentukan jenis data yang perlu dikumpulkan (riwayat pembelian, rating produk, preferensi pengguna) dan algoritma rekomendasi yang akan digunakan (collaborative filtering, content-based filtering)",Analisis Kebutuhan,20
"Menentukan jenis dokumen yang akan dianalisis (teks, kode program, gambar), tingkat sensitivitas deteksi, dan sumber data referensi yang akan digunakan",Analisis Kebutuhan,20
"Menentukan jenis emosi yang ingin dideteksi, akurasi yang diharapkan, dan konteks penggunaan sistem (misalnya, untuk penelitian, pemasaran, atau keamanan)",Analisis Kebutuhan,20
"Menentukan jenis penyakit tanaman yang akan dideteksi, tingkat akurasi yang diharapkan, dan jenis citra tanaman yang akan digunakan sebagai input model",Analisis Kebutuhan,20
"Menentukan kebutuhan perangkat keras (pembaca sidik jari, komputer) dan perangkat lunak (sistem operasi, bahasa pemrograman) untuk sistem absensi",Analisis Kebutuhan,20
"Menentukan kriteria berita hoax, sumber data berita, dan tingkat akurasi deteksi yang diharapkan",Analisis Kebutuhan,20
"Menentukan parameter kualitas udara yang akan diukur (misalnya, PM25, CO2, suhu, kelembaban), lokasi penempatan sensor, dan ambang batas yang aman",Analisis Kebutuhan,20
"Menentukan parameter kualitas udara yang akan diukur (misalnya, PM25, SO2, NO2), lokasi penempatan sensor, dan frekuensi pengukuran",Analisis Kebutuhan,20
"Menentukan persyaratan keamanan sistem, seperti verifikasi identitas pemilih, kerahasiaan suara, dan pencegahan kecurangan",Analisis Kebutuhan,20
"Menentukan persyaratan sistem untuk akurasi pengenalan wajah, kecepatan pemrosesan, dan integrasi dengan sistem kehadiran yang sudah ada",Analisis Kebutuhan,20
"Menentukan platform media sosial yang akan dianalisis (Twitter, Instagram, Facebook), jenis sentimen yang ingin diukur (positif, negatif, netral), dan kebutuhan visualisasi data",Analisis Kebutuhan,20
"Menentukan rentang suhu dan kelembaban yang ideal untuk ruangan, serta kebutuhan pengguna terkait notifikasi dan peringatan jika terjadi perubahan kondisi",Analisis Kebutuhan,20
"Menganalisis alur pendaftaran dan antrian pasien di poliklinik, serta mengidentifikasi masalah yang dapat diatasi dengan sistem antrian berbasis SMS",Analisis Kebutuhan,20
"Menganalisis kebutuhan pengguna dalam mencari dan memesan tempat parkir, termasuk fitur pencarian lokasi parkir, pembayaran online, dan navigasi ke lokasi parkir",Analisis Kebutuhan,20
"Menganalisis kebutuhan sekolah dalam mengelola keuangan, termasuk pencatatan pemasukan dan pengeluaran, pembuatan anggaran, dan laporan keuangan",Analisis Kebutuhan,20
"Menganalisis kebutuhan toko retail dalam mengelola stok barang, termasuk pencatatan barang masuk dan keluar, pelacakan stok, dan pembuatan laporan",Analisis Kebutuhan,20
"Menganalisis preferensi pencari kerja dalam mencari lowongan, seperti kriteria pencarian, filter, dan informasi yang relevan tentang perusahaan dan lowongan",Analisis Kebutuhan,20
"Menggali informasi dari komunitas pecinta lingkungan dan ahli sustainability untuk menentukan konten, fitur, dan fungsionalitas yang relevan untuk website",Analisis Kebutuhan,20
"Mengidentifikasi bahasa asing yang akan diajarkan, tingkat kesulitan materi pembelajaran, dan fitur-fitur interaktif yang dibutuhkan (kuis, permainan, dll)",Analisis Kebutuhan,20
Mengidentifikasi faktor-faktor risiko kesehatan yang relevan dan menentukan jenis data yang perlu dikumpulkan untuk membangun model prediksi,Analisis Kebutuhan,20
"Mengidentifikasi jenis pertanyaan dan masalah yang sering diajukan oleh pelanggan, serta menentukan tingkat kompleksitas percakapan yang perlu ditangani oleh chatbot",Analisis Kebutuhan,20
"Mengidentifikasi jenis-jenis lampu yang akan dikontrol, protokol komunikasi yang digunakan (misalnya, Zigbee, Z-Wave), dan kebutuhan pengguna terkait pengaturan pencahayaan (jadwal, sensor cahaya, dll)",Analisis Kebutuhan,20
"Mengidentifikasi kebutuhan dosen, mahasiswa, dan staf administrasi terkait pengelolaan data akademik, seperti nilai, jadwal, kurikulum, dan absensi",Analisis Kebutuhan,20
"Mengidentifikasi kebutuhan freelancer dan klien dalam platform marketplace, seperti fitur pencarian proyek, penawaran, pembayaran, dan sistem rating/review",Analisis Kebutuhan,20
"Mengidentifikasi kebutuhan guru dan siswa dalam pembelajaran jarak jauh, seperti fitur video conference, whiteboard interaktif, berbagi materi, kuis online, dan forum diskusi",Analisis Kebutuhan,20
"Mengidentifikasi kebutuhan mahasiswa terkait informasi jadwal kuliah, nilai, kalender akademik, pengumuman, dan fitur-fitur pendukung lainnya",Analisis Kebutuhan,20
"Mengidentifikasi kebutuhan pendonor darah (pencarian stok darah, jadwal donor, informasi donor) dan pihak Palang Merah Indonesia (PMI) dalam mengelola data pendonor dan stok darah",Analisis Kebutuhan,20
"Mengidentifikasi kebutuhan petani dan pihak terkait (pemerintah, penyuluh pertanian) dalam memantau kondisi lahan, tanaman, dan cuaca, serta kebutuhan analisis data spasial",Analisis Kebutuhan,20
"Mengidentifikasi kebutuhan tim proyek dalam mengelola proyek, seperti penjadwalan tugas, alokasi sumber daya, pelacakan progres, dan komunikasi antar anggota tim",Analisis Kebutuhan,20
"Mengidentifikasi materi pelajaran yang cocok untuk diimplementasikan dalam bentuk AR, serta menentukan tingkat interaktivitas dan fitur-fitur yang dibutuhkan",Analisis Kebutuhan,20
"Mengidentifikasi preferensi pengguna dalam mendengarkan musik (genre, artis, mood), serta fitur-fitur yang diharapkan dalam sistem rekomendasi (personalisasi, daftar putar, dll)",Analisis Kebutuhan,20
"Mengidentifikasi target pengguna (usia, tingkat pendidikan) dan tujuan pembelajaran dari game, serta mengumpulkan informasi tentang preferensi pengguna terhadap jenis game dan mekanisme permainan",Analisis Kebutuhan,20
Mengumpulkan data dari penyelenggara acara dan calon peserta untuk mengidentifikasi fitur-fitur penting dan fungsionalitas yang diharapkan dari platform,Analisis Kebutuhan,20
"Mengumpulkan data tentang kebutuhan pengguna dalam memantau kesehatan, seperti jenis data yang ingin dicatat (berat badan, tekanan darah, aktivitas fisik), fitur-fitur yang diinginkan (pengingat minum obat, jadwal olahraga), dan integrasi dengan perangkat wearable",Analisis Kebutuhan,20
"Mengumpulkan data tentang kebutuhan pengguna terkait informasi nutrisi, perencanaan diet, pelacakan asupan makanan, dan tujuan kesehatan",Analisis Kebutuhan,20
Mengumpulkan data tentang perilaku konsumen dan tren pasar produk lokal untuk menentukan fitur-fitur yang diperlukan dalam platform e-commerce,Analisis Kebutuhan,20
"Mengumpulkan data tentang preferensi pasien dalam mencari dokter (spesialisasi, lokasi, rating, biaya), serta fitur-fitur yang diharapkan dalam aplikasi (penjadwalan janji temu, riwayat medis, dll)",Analisis Kebutuhan,20
"Mengumpulkan informasi tentang jenis-jenis peralatan laboratorium, jumlah, kondisi, dan lokasi penyimpanan untuk menentukan kebutuhan sistem inventaris",Analisis Kebutuhan,20
Merencanakan strategi Deployment untuk aplikasi,Deployment,15
Menyiapkan lingkungan produksi untuk Deployment,Deployment,15
Melakukan backup sebelum Deployment,Deployment,15
Menyusun jadwal Deployment bersama tim,Deployment,15
Mengonfigurasi server untuk Deployment,Deployment,15
Melakukan uji coba Deployment di lingkungan staging,Deployment,15
Menggunakan alat Deployment otomatis untuk efisiensi,Deployment,15
Mengelola konfigurasi Deployment,Deployment,15
Melakukan monitoring setelah Deployment,Deployment,15
Membuat panduan Deployment untuk tim,Deployment,15
Melakukan rollback jika Deployment gagal,Deployment,15
Menyusun rencana pemulihan bencana untuk Deployment,Deployment,15
Berkoordinasi dengan tim DevOps untuk Deployment,Deployment,15
Melakukan validasi sistem setelah Deployment,Deployment,15
Menyusun checklist untuk Deployment,Deployment,15
Menggunakan container untuk Deployment,Deployment,15
Mengevaluasi kinerja setelah Deployment,Deployment,15
Melakukan Deployment di luar jam kerja untuk mengurangi dampak,Deployment,15
Menyimpan log Deployment untuk referensi,Deployment,15
Mengadakan pelatihan Deployment untuk tim,Deployment,15
Mengelola izin akses untuk Deployment,Deployment,15
Melakukan load testing sebelum Deployment,Deployment,15
Menggunakan versi kontrol untuk Deployment,Deployment,15
Menyusun dokumentasi Deployment,Deployment,15
Menggunakan CI/CD pipeline untuk Deployment,Deployment,15
Memonitor penggunaan sumber daya setelah Deployment,Deployment,15
Menyusun rencana pemeliharaan pasca Deployment,Deployment,15
Mengimplementasikan blue-green Deployment,Deployment,15
Melakukan pengujian keamanan sebelum Deployment,Deployment,15
Menggunakan cloud platform untuk Deployment,Deployment,15
Mengelola rollback plan untuk Deployment,Deployment,15
Menggunakan script otomatis untuk Deployment,Deployment,15
Mengadakan review post-Deployment,Deployment,15
Menyusun prosedur Deployment darurat,Deployment,15
Menggunakan microservices architecture untuk Deployment,Deployment,15
Mengelola database migrations selama Deployment,Deployment,15
Melakukan compatibility testing sebelum Deployment,Deployment,15
Menyusun rencana komunikasi Deployment,Deployment,15
Menggunakan monitoring tools selama Deployment,Deployment,15
Mengelola update dan patch setelah Deployment,Deployment,15
Melakukan stress testing sebelum Deployment,Deployment,15
Menyusun rencana rollback untuk Deployment,Deployment,15
Menggunakan feature toggle dalam Deployment,Deployment,15
Mengadakan simulasi Deployment untuk persiapan,Deployment,15
Mengelola hak akses Deployment pada server,Deployment,15
Melakukan evaluasi risiko sebelum Deployment,Deployment,15
Menggunakan log management tools untuk Deployment,Deployment,15
Menyusun SOP untuk Deployment,Deployment,15
Mengadakan debriefing setelah Deployment,Deployment,15
Menggunakan virtual machines untuk Deployment,Deployment,15
Melakukan deployment aplikasi pengelolaan inventaris berbasis web ke lingkungan produksi menggunakan Kubernetes,Deployment,15
Deployment sistem e-commerce baru dengan arsitektur microservices ke cluster Kubernetes yang telah disiapkan,Deployment,15
Deployment aplikasi mobile banking pada cluster Kubernetes untuk pengujian performa dan skalabilitas,Deployment,15
Deployment platform pembelajaran online dengan konten interaktif pada infrastruktur Kubernetes yang terkelola,Deployment,15
Deployment sistem manajemen hubungan pelanggan (CRM) berbasis cloud di lingkungan Kubernetes yang aman,Deployment,15
Deployment aplikasi analisis data besar (big data) dengan Apache Spark pada cluster Kubernetes yang terdistribusi,Deployment,15
Deployment platform media sosial baru dengan fitur real-time messaging pada infrastruktur Kubernetes yang skalabel,Deployment,15
Deployment sistem reservasi hotel online dengan integrasi pembayaran pada cluster Kubernetes yang handal,Deployment,15
Deployment aplikasi manajemen sumber daya manusia (HR) dengan fitur self-service pada lingkungan Kubernetes yang efisien,Deployment,15
Deployment platform e-learning dengan fokus pada pelatihan keterampilan teknis di infrastruktur Kubernetes yang modern,Deployment,15
Deployment sistem otomasi pemasaran dengan integrasi email dan media sosial pada cluster Kubernetes yang canggih,Deployment,15
Deployment aplikasi telemedicine dengan fitur konsultasi video dan pengiriman resep elektronik pada lingkungan Kubernetes yang aman,Deployment,15
